id,likes,day,month,year,time_hours,time_minutes
51749,0,30,7,2017,12,41
51744,0,30,7,2017,12,35
51743,0,30,7,2017,12,34
51740,1,30,7,2017,12,10
51739,0,30,7,2017,12,8
51737,0,30,7,2017,11,57
51734,0,30,7,2017,11,35
51731,6,30,7,2017,10,40
51727,2,30,7,2017,10,27
51726,0,30,7,2017,10,5
51725,1,30,7,2017,9,57
51723,1,30,7,2017,8,47
51722,0,30,7,2017,8,43
51713,0,30,7,2017,2,13
51709,1,30,7,2017,2,0
51707,14,30,7,2017,1,31
51702,0,30,7,2017,1,9
51701,0,30,7,2017,1,9
51695,1,30,7,2017,0,40
51694,2,30,7,2017,0,40
51690,0,30,7,2017,0,22
51687,0,30,7,2017,0,16
51686,0,30,7,2017,0,16
51682,1,29,7,2017,23,26
51681,0,29,7,2017,23,15
51658,7,29,7,2017,22,17
51657,0,29,7,2017,22,17
51654,0,29,7,2017,22,10
51639,0,29,7,2017,21,48
51632,0,29,7,2017,21,35
51631,0,29,7,2017,21,20
51630,0,29,7,2017,21,3
